id,time,Lon,Lat,pH,DO,NH3N,CODMn
2156,2021-08-07 00:00,115.091033,37.319989,7.823333,2.363333,0.106667,5.081667
2156,2021-08-08 00:00,115.091033,37.319989,7.845833,2.852500,0.049167,5.090000
2156,2021-08-09 00:00,115.091033,37.319989,7.861667,3.080000,0.020000,5.055000
2156,2021-08-10 00:00,115.091033,37.319989,7.881667,3.471667,0.020000,5.140833
2156,2021-08-11 00:00,115.091033,37.319989,7.895833,3.860833,0.020000,5.109167
2156,2021-08-12 00:00,115.091033,37.319989,7.911667,4.042500,0.020000,4.983333
2156,2021-08-13 00:00,115.091033,37.319989,7.908333,3.905000,0.020000,4.909167
2156,2021-08-14 00:00,115.091033,37.319989,7.900000,3.686667,0.020000,4.862500
2156,2021-08-15 00:00,115.091033,37.319989,7.900000,3.649167,0.020000,4.832500
2156,2021-08-16 00:00,115.091033,37.319989,7.905833,3.658333,0.020000,4.825833
2156,2021-08-17 00:00,115.091033,37.319989,7.962500,4.449167,0.020000,4.841667
2156,2021-08-18 00:00,115.091033,37.319989,7.965000,4.273333,0.055000,5.153333
2156,2021-08-19 00:00,115.091033,37.319989,7.922500,3.413333,0.109167,5.650000
2156,2021-08-20 00:00,115.091033,37.319989,7.904167,3.390000,0.211667,5.523333
2156,2021-08-21 00:00,115.091033,37.319989,7.923333,3.977500,0.252500,5.558333
2156,2021-08-22 00:00,115.091033,37.319989,7.945833,4.377500,0.135000,5.540000
2156,2021-08-23 00:00,115.091033,37.319989,8.055000,5.659167,0.060000,5.716667
2156,2021-08-24 00:00,115.091033,37.319989,8.246667,8.075833,0.048333,6.253333
2156,2021-08-25 00:00,115.091033,37.319989,8.312500,10.440000,0.045833,6.580833
2156,2021-08-26 00:00,115.091033,37.319989,8.364167,13.165833,0.044167,6.677500
2156,2021-08-27 00:00,115.091033,37.319989,8.445000,14.674167,0.034167,6.485833
2156,2021-08-28 00:00,115.091033,37.319989,8.341667,10.660833,0.065000,6.439167
2156,2021-08-29 00:00,115.091033,37.319989,8.337500,9.615000,0.078333,6.620833
2156,2021-08-30 00:00,115.091033,37.319989,8.499167,14.297500,0.040833,6.542500
2156,2021-08-31 00:00,115.091033,37.319989,8.288269,8.664231,0.049231,5.824423
2156,2021-09-01 00:00,115.091033,37.319989,8.153462,5.629038,0.051538,5.641154
2156,2021-09-02 00:00,115.091033,37.319989,8.102692,5.169808,0.042308,5.664231
2156,2021-09-03 00:00,115.091033,37.319989,8.051923,4.710577,0.033077,5.687308
2156,2021-09-04 00:00,115.091033,37.319989,8.001154,4.251346,0.023846,5.710385
2156,2021-09-05 00:00,115.091033,37.319989,7.980000,3.628333,0.049167,5.626667
2156,2021-09-06 00:00,115.091033,37.319989,8.055833,3.658333,0.116667,5.460833
2156,2021-09-07 00:00,115.091033,37.319989,8.065714,3.808095,0.157619,5.945476
2156,2021-09-08 00:00,115.091033,37.319989,8.104286,5.158572,0.185714,6.277857
2156,2021-09-09 00:00,115.091033,37.319989,8.116667,5.723333,0.153333,6.199167
2156,2021-09-10 00:00,115.091033,37.319989,8.129167,6.053333,0.061667,5.921667
2156,2021-09-11 00:00,115.091033,37.319989,8.100000,5.673333,0.030000,5.510000
2156,2021-09-12 00:00,115.091033,37.319989,8.063333,4.910000,0.040000,5.485000
2156,2021-09-13 00:00,115.091033,37.319989,8.059167,4.319167,0.072500,5.378333
2156,2021-09-14 00:00,115.091033,37.319989,8.050000,3.855000,0.131667,5.998333
2156,2021-09-15 00:00,115.091033,37.319989,8.065000,3.806667,0.151667,5.911667
2156,2021-09-16 00:00,115.091033,37.319989,8.050000,3.430000,0.148333,5.894167
2156,2021-09-17 00:00,115.091033,37.319989,8.050000,3.502500,0.154167,5.710000
2156,2021-09-18 00:00,115.091033,37.319989,8.028667,3.087667,0.134500,5.593000
2156,2021-09-19 00:00,115.091033,37.319989,8.015857,2.747571,0.149429,5.259143
2156,2021-09-20 00:00,115.091033,37.319989,8.078810,3.579762,0.213571,4.914524
2156,2021-09-21 00:00,115.091033,37.319989,8.025556,2.607778,1.171667,5.361111
2156,2021-09-22 00:00,115.091033,37.319989,7.977778,1.762222,1.845000,5.882222
2156,2021-09-23 00:00,115.091033,37.319989,8.030000,2.960000,0.833333,6.238333
2156,2021-09-24 00:00,115.091033,37.319989,8.044167,3.700833,0.221667,5.905833
2156,2021-09-25 00:00,115.091033,37.319989,7.995833,2.762500,0.269167,5.845000
2156,2021-09-26 00:00,115.091033,37.319989,7.973333,2.188333,0.300000,5.551667
2156,2021-09-27 00:00,115.091033,37.319989,7.971667,2.205000,0.268333,5.346667
2156,2021-09-28 00:00,115.091033,37.319989,7.974167,2.328750,0.311250,5.453333
2156,2021-09-29 00:00,115.091033,37.319989,7.990833,2.629583,0.312917,5.440833
2156,2021-09-30 00:00,115.091033,37.319989,8.018333,3.228333,0.231667,5.366667
2156,2021-10-01 00:00,115.091033,37.319989,8.060000,4.056667,0.156667,5.288333
2156,2021-10-02 00:00,115.091033,37.319989,8.098333,4.643333,0.098333,5.265000
2156,2021-10-03 00:00,115.091033,37.319989,8.077619,3.840000,0.221190,5.209286
2156,2021-10-04 00:00,115.091033,37.319989,8.087857,3.650000,0.276072,5.092857
2156,2021-10-05 00:00,115.091033,37.319989,8.112857,3.766667,0.255238,4.936190
2156,2021-10-06 00:00,115.091033,37.319989,8.096667,3.511667,0.746667,4.943333
2156,2021-10-07 00:00,115.091033,37.319989,8.068333,3.250000,0.766667,5.223333
2156,2021-10-08 00:00,115.091033,37.319989,8.060000,3.401667,0.551667,5.196667
2156,2021-10-09 00:00,115.091033,37.319989,8.066667,3.548333,0.345000,4.976667
2156,2021-10-10 00:00,115.091033,37.319989,8.068333,3.526667,0.341667,4.963333
2156,2021-10-11 00:00,115.091033,37.319989,8.075000,3.608333,0.335000,5.058333
2156,2021-10-12 00:00,115.091033,37.319989,8.081667,3.698333,0.420000,5.136667
2156,2021-10-13 00:00,115.091033,37.319989,8.090000,3.821667,0.546667,5.126667
2156,2021-10-14 00:00,115.091033,37.319989,8.093333,3.950000,0.431667,4.986667
2156,2021-10-15 00:00,115.091033,37.319989,8.106667,4.085000,0.291667,4.820000
2156,2021-10-16 00:00,115.091033,37.319989,8.188333,5.296667,0.201667,4.513333
2156,2021-10-17 00:00,115.091033,37.319989,8.231667,6.180000,0.175000,4.586667
2156,2021-10-18 00:00,115.091033,37.319989,8.258333,7.080000,0.153333,4.605000
2156,2021-10-19 00:00,115.091033,37.319989,8.293333,7.230000,0.126667,4.501667
2156,2021-10-20 00:00,115.091033,37.319989,8.311667,7.560000,0.090000,4.355000
2156,2021-10-21 00:00,115.091033,37.319989,8.316667,7.745000,0.073333,4.445000
2156,2021-10-22 00:00,115.091033,37.319989,8.346667,8.001667,0.045000,3.848333
2156,2021-10-23 00:00,115.091033,37.319989,8.355000,8.400000,0.030000,4.511667
2156,2021-10-24 00:00,115.091033,37.319989,8.373333,8.691667,0.073333,4.798333
2156,2021-10-25 00:00,115.091033,37.319989,8.361667,8.616667,0.030000,4.426667
2156,2021-10-26 00:00,115.091033,37.319989,8.355000,8.448333,0.030000,4.993333
